NumeroReuniaoCopom,ReuniaoExtraordinaria,DataReuniaoCopom,Vies,UsoMetaSelic,DataInicioVigencia,DataFimVigencia,MetaSelic,TaxaTban,TaxaSelicEfetivaVigencia,TaxaSelicEfetivaAnualizada,descisaoMonocraticaPres
278.0,False,2026-04-29T03:00:00Z,n/a,False,2026-04-30T03:00:00Z,,14.5,,,,False
277.0,False,2026-03-18T03:00:00Z,n/a,False,2026-03-19T03:00:00Z,2026-04-29T03:00:00Z,14.75,,1.53,14.65,False
276.0,False,2026-01-28T03:00:00Z,n/a,False,2026-01-29T03:00:00Z,2026-03-18T03:00:00Z,15.0,,1.84,14.9,False
275.0,False,2025-12-10T03:00:00Z,n/a,False,2025-12-11T03:00:00Z,2026-01-28T03:00:00Z,15.0,,1.84,14.9,False
274.0,False,2025-11-05T03:00:00Z,n/a,False,2025-11-06T03:00:00Z,2025-12-10T03:00:00Z,15.0,,1.33,14.9,False
273.0,False,2025-09-17T03:00:00Z,n/a,False,2025-09-18T03:00:00Z,2025-11-05T03:00:00Z,15.0,,1.95,14.9,False
272.0,False,2025-07-30T03:00:00Z,n/a,False,2025-07-31T03:00:00Z,2025-09-17T03:00:00Z,15.0,,1.95,14.9,False
271.0,False,2025-06-18T03:00:00Z,n/a,False,2025-06-20T03:00:00Z,2025-07-30T03:00:00Z,15.0,,1.61,14.9,False
270.0,False,2025-05-07T03:00:00Z,n/a,False,2025-05-08T03:00:00Z,2025-06-19T03:00:00Z,14.75,,1.64,14.65,False
269.0,False,2025-03-19T03:00:00Z,n/a,False,2025-03-20T03:00:00Z,2025-05-07T03:00:00Z,14.25,,1.69,14.15,False
268.0,False,2025-01-29T03:00:00Z,n/a,False,2025-01-30T03:00:00Z,2025-03-19T03:00:00Z,13.25,,1.63,13.15,False
267.0,False,2024-12-11T03:00:00Z,n/a,False,2024-12-12T03:00:00Z,2025-01-29T03:00:00Z,12.25,,1.51,12.15,False
266.0,False,2024-11-06T03:00:00Z,n/a,False,2024-11-07T03:00:00Z,2024-12-11T03:00:00Z,11.25,,0.97,11.15,False
265.0,False,2024-09-18T03:00:00Z,n/a,False,2024-09-19T03:00:00Z,2024-11-06T03:00:00Z,10.75,,1.42,10.65,False
264.0,False,2024-07-31T03:00:00Z,n/a,False,2024-08-01T03:00:00Z,2024-09-18T03:00:00Z,10.5,,1.38,10.4,
263.0,False,2024-06-19T03:00:00Z,n/a,False,2024-06-20T03:00:00Z,2024-07-31T03:00:00Z,10.5,,1.18,10.4,
262.0,False,2024-05-08T03:00:00Z,n/a,False,2024-05-09T03:00:00Z,2024-06-19T03:00:00Z,10.5,,1.15,10.4,
261.0,False,2024-03-20T03:00:00Z,n/a,False,2024-03-21T03:00:00Z,2024-05-08T03:00:00Z,10.75,,1.33,10.65,
260.0,False,2024-01-31T03:00:00Z,n/a,False,2024-02-01T03:00:00Z,2024-03-20T03:00:00Z,11.25,,1.39,11.15,
259.0,False,2023-12-13T03:00:00Z,n/a,False,2023-12-14T03:00:00Z,2024-01-31T03:00:00Z,11.75,,1.45,11.65,
258.0,False,2023-11-01T03:00:00Z,n/a,False,2023-11-03T03:00:00Z,2023-12-13T03:00:00Z,12.25,,1.28,12.15,
257.0,False,2023-09-20T03:00:00Z,n/a,False,2023-09-21T03:00:00Z,2023-11-02T03:00:00Z,12.75,,1.38,12.65,
256.0,False,2023-08-02T03:00:00Z,n/a,False,2023-08-03T03:00:00Z,2023-09-20T03:00:00Z,13.25,,1.68,13.15,
255.0,False,2023-06-21T03:00:00Z,n/a,False,2023-06-22T03:00:00Z,2023-08-02T03:00:00Z,13.75,,1.53,13.65,
254.0,False,2023-05-03T03:00:00Z,n/a,False,2023-05-04T03:00:00Z,2023-06-21T03:00:00Z,13.75,,1.74,13.65,
253.0,False,2023-03-22T03:00:00Z,n/a,False,2023-03-23T03:00:00Z,2023-05-03T03:00:00Z,13.75,,1.38,13.65,
252.0,False,2023-02-01T03:00:00Z,n/a,False,2023-02-02T03:00:00Z,2023-03-22T03:00:00Z,13.75,,1.69,13.65,
251.0,False,2022-12-07T03:00:00Z,n/a,False,2022-12-08T03:00:00Z,2023-02-01T03:00:00Z,13.75,,2.05,13.65,
250.0,False,2022-10-26T03:00:00Z,n/a,False,2022-10-27T03:00:00Z,2022-12-07T03:00:00Z,13.75,,1.43,13.65,
249.0,False,2022-09-21T03:00:00Z,n/a,False,2022-09-22T03:00:00Z,2022-10-26T03:00:00Z,13.75,,1.23,13.65,
248.0,False,2022-08-03T03:00:00Z,n/a,False,2022-08-04T03:00:00Z,2022-09-21T03:00:00Z,13.75,,1.74,13.65,
247.0,False,2022-06-15T03:00:00Z,n/a,False,2022-06-17T03:00:00Z,2022-08-03T03:00:00Z,13.25,,1.68,13.15,
246.0,False,2022-05-04T03:00:00Z,n/a,False,2022-05-05T03:00:00Z,2022-06-16T03:00:00Z,12.75,,1.43,12.65,
245.0,False,2022-03-16T03:00:00Z,n/a,False,2022-03-17T03:00:00Z,2022-05-04T03:00:00Z,11.75,,1.45,11.65,
244.0,False,2022-02-02T03:00:00Z,n/a,False,2022-02-03T03:00:00Z,2022-03-16T03:00:00Z,10.75,,1.13,10.65,
243.0,False,2021-12-08T03:00:00Z,n/a,False,2021-12-09T03:00:00Z,2022-02-02T03:00:00Z,9.25,,1.4,9.15,False
242.0,False,2021-10-27T03:00:00Z,n/a,False,2021-10-28T03:00:00Z,2021-12-08T03:00:00Z,7.75,,0.82,7.65,False
241.0,False,2021-09-22T03:00:00Z,n/a,False,2021-09-23T03:00:00Z,2021-10-27T03:00:00Z,6.25,,0.57,6.15,
240.0,False,2021-08-04T03:00:00Z,n/a,False,2021-08-05T03:00:00Z,2021-09-22T03:00:00Z,5.25,,0.68,5.15,False
239.0,False,2021-06-16T03:00:00Z,n/a,False,2021-06-17T03:00:00Z,2021-08-04T03:00:00Z,4.25,,0.57,4.15,False
238.0,False,2021-05-05T03:00:00Z,n/a,False,2021-05-06T03:00:00Z,2021-06-16T03:00:00Z,3.5,,0.39,3.4,False
237.0,False,2021-03-17T03:00:00Z,n/a,False,2021-03-18T03:00:00Z,2021-05-05T03:00:00Z,2.75,,0.34,2.65,
236.0,False,2021-01-20T03:00:00Z,n/a,False,2021-01-21T03:00:00Z,2021-03-17T03:00:00Z,2.0,,0.28,1.9,False
235.0,False,2020-12-09T03:00:00Z,n/a,False,2020-12-10T03:00:00Z,2021-01-20T03:00:00Z,2.0,,0.21,1.9,
234.0,False,2020-10-28T03:00:00Z,n/a,False,2020-10-29T03:00:00Z,2020-12-09T03:00:00Z,2.0,,0.22,1.9,
233.0,False,2020-09-16T03:00:00Z,n/a,False,2020-09-17T03:00:00Z,2020-10-28T03:00:00Z,2.0,,0.22,1.9,
232.0,False,2020-08-05T03:00:00Z,n/a,False,2020-08-06T03:00:00Z,2020-09-16T03:00:00Z,2.0,,0.22,1.9,
231.0,False,2020-06-17T03:00:00Z,n/a,False,2020-06-18T03:00:00Z,2020-08-05T03:00:00Z,2.25,,0.3,2.15,
230.0,False,2020-05-06T03:00:00Z,n/a,False,2020-05-07T03:00:00Z,2020-06-17T03:00:00Z,3.0,,0.32,2.9,
229.0,False,2020-03-18T03:00:00Z,n/a,False,2020-03-19T03:00:00Z,2020-05-06T03:00:00Z,3.75,,0.46,3.65,
228.0,False,2020-02-05T03:00:00Z,n/a,False,2020-02-06T03:00:00Z,2020-03-18T03:00:00Z,4.25,,0.45,4.15,
227.0,False,2019-12-11T03:00:00Z,n/a,False,2019-12-12T03:00:00Z,2020-02-05T03:00:00Z,4.5,,0.65,4.4,
226.0,False,2019-10-30T03:00:00Z,n/a,False,2019-10-31T03:00:00Z,2019-12-11T03:00:00Z,5.0,,0.55,4.9,
225.0,False,2019-09-18T03:00:00Z,n/a,False,2019-09-19T03:00:00Z,2019-10-30T03:00:00Z,5.5,,0.63,5.4,False
224.0,False,2019-07-31T03:00:00Z,n/a,False,2019-08-01T03:00:00Z,2019-09-18T03:00:00Z,6.0,,0.8,5.9,
223.0,False,2019-06-19T03:00:00Z,n/a,False,2019-06-21T03:00:00Z,2019-07-31T03:00:00Z,6.5,,0.72,6.4,
222.0,False,2019-05-08T03:00:00Z,n/a,False,2019-05-09T03:00:00Z,2019-06-20T03:00:00Z,6.5,,0.74,6.4,
221.0,False,2019-03-20T03:00:00Z,n/a,False,2019-03-21T03:00:00Z,2019-05-08T03:00:00Z,6.5,,0.82,6.4,False
220.0,False,2019-02-06T02:00:00Z,n/a,False,2019-02-07T02:00:00Z,2019-03-20T03:00:00Z,6.5,,0.69,6.4,
